"code","area","city","province","lat","lon","geo_hash"
"110000",,"市辖区","北京市","39.910924547299565","116.4133836971231","wx4g1199urw6"
"110101","东城区","市辖区","北京市","39.93482727239599","116.4224009776628","wx4g1mbjnx65"
"110102","西城区","市辖区","北京市","39.91812360584148","116.37251358116619","wx4g04gguje6"
"110105","朝阳区","市辖区","北京市","39.926374523079886","116.44955872950158","wx4g1u7gzrsm"
"110106","丰台区","市辖区","北京市","39.8649371975573","116.29240188731139","wx4dy31w16gv"
"110107","石景山区","市辖区","北京市","39.911353808778294","116.22961266775826","wx4ehceu6r8g"
"110108","海淀区","市辖区","北京市","39.96548984110075","116.3054340544974","wx4eqe7pc533"
"110109","门头沟区","市辖区","北京市","39.94614672003409","116.10760355576534","wx4e4pfzpm2n"
"110111","房山区","市辖区","北京市","39.75432583977336","116.14944375184247","wx4d5j13wpqq"
"110112","通州区","市辖区","北京市","39.916017122432365","116.66341535785384","wx4gndrxwsgs"
"110113","顺义区","市辖区","北京市","40.13635076223076","116.66142426369096","wx4uqdw70nnf"
"110114","昌平区","市辖区","北京市","40.22641337159427","116.23761791731043","wx4sv4cxufcy"
"110115","大兴区","市辖区","北京市","39.73255523655448","116.348625212231","wx4dp946zmnu"
"110116","怀柔区","市辖区","北京市","40.32261840426579","116.63838587142932","wx4vqht2r2u5"
"110117","平谷区","市辖区","北京市","40.146950735799116","117.12737910459967","wx5k3k98cwpc"
"110118","密云区","市辖区","北京市","40.52328803670418","116.9204319727385","wx5ns94c782u"
"110119","延庆区","市辖区","北京市","40.43867002531891","115.99133201089519","wx4qp3wk3fmy"
"120000",,"市辖区","天津市","39.093667843403956","117.2095232146708","wwgq7hv35ggh"
"120101","和平区","市辖区","天津市","39.12339025327971","117.22146699490091","wwgqe6nn60sc"
"120102","河东区","市辖区","天津市","39.134487325955114","117.25841295306803","wwgqsk0yzj1y"
"120103","河西区","市辖区","天津市","39.115718082215515","117.2294162800198","wwgqe8gce6k7"
"120104","南开区","市辖区","天津市","39.14410527976771","117.15651537432414","wwgq9vyybwje"
"120105","河北区","市辖区","天津市","39.15348514470478","117.20359278135501","wwgqep9j9dsu"
"120106","红桥区","市辖区","天津市","39.17328564656417","117.15751788327329","wwgqcgr8bj9p"
"120110","东丽区","市辖区","天津市","39.09233234281453","117.32056850791443","wwgqmsw1r6um"
"120111","西青区","市辖区","天津市","39.14872660896657","117.01441017993696","wwgnwwz3c7s4"
"120112","津南区","市辖区","天津市","38.94414856811469","117.36338677903083","wwgmw9t6j5kp"
"120113","北辰区","市辖区","天津市","39.2303439099184","117.14140273157703","wwgr1tev2d0s"
"120114","武清区","市辖区","天津市","39.389871228788344","117.05059715977872","wx50pd9wss5n"
"120115","宝坻区","市辖区","天津市","39.723194482933174","117.31660069247685","wx53vx7k6uju"
"120116","滨海新区","市辖区","天津市","39.00941577364663","117.71739882966088","wwgtytrnq4nt"
"120117","宁河区","市辖区","天津市","39.33695643122726","117.83239334341803","wwgzc34fmu0t"
